Entry	Protein families_Gene	Protein families	Gene Names	Length	Domain [FT];
Q7RTN6	STE_STRADA	STE	STRADA LYK5 STRAD	431	DOMAIN 69..379; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P14616	TYR_INSRR	TYR	INSRR IRR	1297	DOMAIN 483..603; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 607..707; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 818..913; /note="Fibronectin type-III 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 979..1254; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9C0K7	STE_STRADB	STE	STRADB ALS2CR2 ILPIP PRO1038	418	DOMAIN 58..369; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P06213	TYR_INSR	TYR	INSR	1382	DOMAIN 624..726; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 757..842; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 853..947; /note="Fibronectin type-III 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 1023..1298; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P08069	TYR_IGF1R	TYR	IGF1R	1367	DOMAIN 491..609; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 610..708; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 735..828; /note="Fibronectin type-III 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 834..927; /note="Fibronectin type-III 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 999..1274; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q5JZY3	TYR_EPHA10	TYR	EPHA10	1008	DOMAIN 35..216; /note="Eph LBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00883"; DOMAIN 340..452; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 456..554; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 645..900; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 933..997; /note="SAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00184";
P16234	TYR_PDGFRA	TYR	PDGFRA PDGFR2 RHEPDGFRA	1089	DOMAIN 24..113; /note="Ig-like C2-type 1"; DOMAIN 117..201; /note="Ig-like C2-type 2"; DOMAIN 202..306; /note="Ig-like C2-type 3"; DOMAIN 319..410; /note="Ig-like C2-type 4"; DOMAIN 414..517; /note="Ig-like C2-type 5"; DOMAIN 593..954; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P22455	TYR_FGFR4	TYR	FGFR4 JTK2 TKF	802	DOMAIN 22..118; /note="Ig-like C2-type 1"; DOMAIN 152..240; /note="Ig-like C2-type 2"; DOMAIN 249..349; /note="Ig-like C2-type 3"; DOMAIN 467..755; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P21802	TYR_FGFR2	TYR	FGFR2 BEK KGFR KSAM	821	DOMAIN 25..125; /note="Ig-like C2-type 1"; DOMAIN 154..247; /note="Ig-like C2-type 2"; DOMAIN 256..358; /note="Ig-like C2-type 3"; DOMAIN 481..770; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P09619	TYR_PDGFRB	TYR	PDGFRB PDGFR PDGFR1	1106	DOMAIN 33..120; /note="Ig-like C2-type 1"; DOMAIN 129..210; /note="Ig-like C2-type 2"; DOMAIN 214..309; /note="Ig-like C2-type 3"; DOMAIN 331..403; /note="Ig-like C2-type 4"; DOMAIN 416..524; /note="Ig-like C2-type 5"; DOMAIN 600..962; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P07333	TYR_CSF1R	TYR	CSF1R FMS	972	DOMAIN 21..104; /note="Ig-like C2-type 1"; DOMAIN 107..197; /note="Ig-like C2-type 2"; DOMAIN 203..290; /note="Ig-like C2-type 3"; DOMAIN 299..399; /note="Ig-like C2-type 4"; DOMAIN 402..502; /note="Ig-like C2-type 5"; DOMAIN 582..910; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P27037	TKL_ACVR2A	TKL	ACVR2A ACVR2	513	DOMAIN 192..485; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q13705	TKL_ACVR2B	TKL	ACVR2B	512	DOMAIN 190..480; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q16671	TKL_AMHR2	TKL	AMHR2 AMHR MISR2	573	DOMAIN 203..518; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q13873	TKL_BMPR2	TKL	BMPR2 PPH1	1038	DOMAIN 203..504; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P37173	TKL_TGFBR2	TKL	TGFBR2	567	DOMAIN 244..544; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
O00238	TKL_BMPR1B	TKL	BMPR1B	502	DOMAIN 174..203; /note="GS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00585"; DOMAIN 204..494; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q8NEV4	STE_MYO3A	STE	MYO3A	1616	DOMAIN 21..287; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 338..1053; /note="Myosin motor"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00782"; DOMAIN 1055..1084; /note="IQ 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00116"; DOMAIN 1082..1111; /note="IQ 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00116"; DOMAIN 1346..1375; /note="IQ 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00116";
Q8WXR4	STE_MYO3B	STE	MYO3B	1341	DOMAIN 27..293; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 343..1058; /note="Myosin motor"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00782"; DOMAIN 1060..1089; /note="IQ 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00116"; DOMAIN 1087..1116; /note="IQ 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00116";
