Entry	Entry Name	Protein names	Gene Names	Length	Protein families	Domain [FT]
Q9H0K1	SIK2_HUMAN	Serine/threonine-protein kinase SIK2 (EC 2.7.11.1) (Qin-induced kinase) (Salt-inducible kinase 2) (SIK-2) (Serine/threonine-protein kinase SNF1-like kinase 2)	SIK2 KIAA0781 QIK SNF1LK2	926	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	DOMAIN 20..271; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 295..335; /note="UBA"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00212"
O00141	SGK1_HUMAN	Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)	SGK1 SGK	431	Protein kinase superfamily, AGC Ser/Thr protein kinase family	DOMAIN 98..355; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 356..431; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q8IW41	MAPK5_HUMAN	MAP kinase-activated protein kinase 5 (MAPK-activated protein kinase 5) (MAPKAP kinase 5) (MAPKAP-K5) (MAPKAPK-5) (MK-5) (MK5) (EC 2.7.11.1) (p38-regulated/activated protein kinase) (PRAK)	MAPKAPK5 PRAK	473	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 22..304; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q96PN8	TSSK3_HUMAN	Testis-specific serine/threonine-protein kinase 3 (TSK-3) (TSSK-3) (Testis-specific kinase 3) (EC 2.7.11.1) (Serine/threonine-protein kinase 22C)	TSSK3 SPOGA3 STK22C	268	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 10..265; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
O60307	MAST3_HUMAN	Microtubule-associated serine/threonine-protein kinase 3 (EC 2.7.11.1)	MAST3 KIAA0561	1309	Protein kinase superfamily, AGC Ser/Thr protein kinase family	DOMAIN 367..640; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 641..712; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"; DOMAIN 950..1038; /note="PDZ"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00143"
Q00537	CDK17_HUMAN	Cyclin-dependent kinase 17 (EC 2.7.11.22) (Cell division protein kinase 17) (PCTAIRE-motif protein kinase 2) (Serine/threonine-protein kinase PCTAIRE-2)	CDK17 PCTAIRE2 PCTK2	523	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 192..473; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q15131	CDK10_HUMAN	Cyclin-dependent kinase 10 (EC 2.7.11.22) (Cell division protein kinase 10) (Serine/threonine-protein kinase PISSLRE)	CDK10	360	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 39..323; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P49761	CLK3_HUMAN	Dual specificity protein kinase CLK3 (EC 2.7.12.1) (CDC-like kinase 3)	CLK3	638	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, Lammer subfamily	DOMAIN 304..620; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9NRM7	LATS2_HUMAN	Serine/threonine-protein kinase LATS2 (EC 2.7.11.1) (Kinase phosphorylated during mitosis protein) (Large tumor suppressor homolog 2) (Serine/threonine-protein kinase kpm) (Warts-like kinase)	LATS2 KPM	1088	Protein kinase superfamily, AGC Ser/Thr protein kinase family	DOMAIN 98..139; /note="UBA"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00212"; DOMAIN 668..973; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 974..1052; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
P49760	CLK2_HUMAN	Dual specificity protein kinase CLK2 (EC 2.7.12.1) (CDC-like kinase 2)	CLK2	499	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, Lammer subfamily	DOMAIN 163..479; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q6SA08	TSSK4_HUMAN	Testis-specific serine/threonine-protein kinase 4 (TSK-4) (TSSK-4) (Testis-specific kinase 4) (EC 2.7.11.1) (Serine/threonine-protein kinase 22E)	TSSK4 C14orf20 STK22E TSSK5	328	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 25..293; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q15349	KS6A2_HUMAN	Ribosomal protein S6 kinase alpha-2 (S6K-alpha-2) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 2) (p90-RSK 2) (p90RSK2) (MAP kinase-activated protein kinase 1c) (MAPK-activated protein kinase 1c) (MAPKAP kinase 1c) (MAPKAPK-1c) (Ribosomal S6 kinase 3) (RSK-3) (pp90RSK3)	RPS6KA2 MAPKAPK1C RSK3	733	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily	DOMAIN 59..318; /note="Protein kinase 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 319..388; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"; DOMAIN 415..672; /note="Protein kinase 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
O75582	KS6A5_HUMAN	Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 5) (Nuclear mitogen- and stress-activated protein kinase 1) (RSK-like protein kinase) (RSKL)	RPS6KA5 MSK1	802	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily	DOMAIN 49..318; /note="Protein kinase 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 319..387; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"; DOMAIN 426..687; /note="Protein kinase 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9BXA6	TSSK6_HUMAN	Testis-specific serine/threonine-protein kinase 6 (TSK-6) (TSSK-6) (Testis-specific kinase 6) (EC 2.7.11.1) (Cancer/testis antigen 72) (CT72) (Serine/threonine-protein kinase SSTK) (Small serine/threonine kinase)	TSSK6 SSTK FKSG82	273	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 12..267; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q8IWQ3	BRSK2_HUMAN	Serine/threonine-protein kinase BRSK2 (EC 2.7.11.1) (Brain-selective kinase 2) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 2) (BR serine/threonine-protein kinase 2) (Serine/threonine-protein kinase 29) (Serine/threonine-protein kinase SAD-A)	BRSK2 C11orf7 PEN11B SADA STK29 HUSSY-12	736	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	DOMAIN 19..270; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 297..339; /note="UBA"
P41743	KPCI_HUMAN	Protein kinase C iota type (EC 2.7.11.13) (Atypical protein kinase C-lambda/iota) (PRKC-lambda/iota) (aPKC-lambda/iota) (nPKC-iota)	PRKCI DXS1179E	596	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	DOMAIN 25..108; /note="PB1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01081"; DOMAIN 254..522; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 523..594; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q9BYT3	STK33_HUMAN	Serine/threonine-protein kinase 33 (EC 2.7.11.1)	STK33	514	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	DOMAIN 116..381; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q92772	CDKL2_HUMAN	Cyclin-dependent kinase-like 2 (EC 2.7.11.22) (Protein kinase p56 KKIAMRE) (Serine/threonine-protein kinase KKIAMRE)	CDKL2	493	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 4..287; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
O94806	KPCD3_HUMAN	Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu)	PRKD3 EPK2 PRKCN	890	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PKD subfamily	DOMAIN 416..532; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"; DOMAIN 576..832; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9Y5S2	MRCKB_HUMAN	Serine/threonine-protein kinase MRCK beta (EC 2.7.11.1) (CDC42-binding protein kinase beta) (CDC42BP-beta) (DMPK-like beta) (Myotonic dystrophy kinase-related CDC42-binding kinase beta) (MRCK beta) (Myotonic dystrophy protein kinase-like beta)	CDC42BPB KIAA1124	1711	Protein kinase superfamily, AGC Ser/Thr protein kinase family, DMPK subfamily	DOMAIN 76..342; /note="Protein kinase"; /evidence="ECO:0000250|UniProtKB:Q5VT25, ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 343..413; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"; DOMAIN 1095..1214; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"; DOMAIN 1240..1513; /note="CNH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00795"; DOMAIN 1583..1596; /note="CRIB"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00057"
P27448	MARK3_HUMAN	MAP/microtubule affinity-regulating kinase 3 (EC 2.7.11.1) (C-TAK1) (cTAK1) (Cdc25C-associated protein kinase 1) (ELKL motif kinase 2) (EMK-2) (Protein kinase STK10) (Ser/Thr protein kinase PAR-1) (Par-1a) (Serine/threonine-protein kinase p78)	MARK3 CTAK1 EMK2	753	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	DOMAIN 56..307; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 326..365; /note="UBA"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00212"; DOMAIN 704..753; /note="KA1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00565"
Q9UBE8	NLK_HUMAN	Serine/threonine-protein kinase NLK (EC 2.7.11.24) (Nemo-like kinase) (Protein LAK1)	NLK LAK1	527	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	DOMAIN 138..427; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q04759	KPCT_HUMAN	Protein kinase C theta type (EC 2.7.11.13) (nPKC-theta)	PRKCQ PRKCT	706	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	DOMAIN 1..107; /note="C2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00041"; DOMAIN 380..634; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 635..706; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q6P2M8	KCC1B_HUMAN	Calcium/calmodulin-dependent protein kinase type 1B (EC 2.7.11.17) (CaM kinase I beta) (CaM kinase IB) (CaM-KI beta) (CaMKI-beta) (Pregnancy up-regulated non-ubiquitously-expressed CaM kinase)	PNCK	343	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	DOMAIN 15..270; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9UEE5	ST17A_HUMAN	Serine/threonine-protein kinase 17A (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 1)	STK17A DRAK1	414	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily	DOMAIN 61..321; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P31749	AKT1_HUMAN	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	AKT1 PKB RAC	480	Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily	DOMAIN 5..108; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"; DOMAIN 150..408; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 409..480; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q8N5S9	KKCC1_HUMAN	Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1) (EC 2.7.11.17) (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha)	CAMKK1 CAMKKA	505	Protein kinase superfamily, Ser/Thr protein kinase family	DOMAIN 128..409; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q8N2I9	STK40_HUMAN	Serine/threonine-protein kinase 40 (EC 2.7.11.1) (SINK-homologous serine/threonine-protein kinase) (Sugen kinase 495) (SgK495)	STK40 SGK495 SHIK	435	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 35..331; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9NRH2	SNRK_HUMAN	SNF-related serine/threonine-protein kinase (EC 2.7.11.1) (SNF1-related kinase)	SNRK KIAA0096 SNFRK	765	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 16..269; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 291..334; /note="UBA"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00212"
P25098	ARBK1_HUMAN	Beta-adrenergic receptor kinase 1 (Beta-ARK-1) (EC 2.7.11.15) (G-protein coupled receptor kinase 2)	GRK2 ADRBK1 BARK BARK1	689	Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily	DOMAIN 54..175; /note="RGS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00171"; DOMAIN 191..453; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 454..521; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"; DOMAIN 558..652; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"
Q8IY84	NIM1_HUMAN	Serine/threonine-protein kinase NIM1 (EC 2.7.11.1) (NIM1 serine/threonine-protein kinase)	NIM1K NIM1	436	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 74..325; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q96RR4	KKCC2_HUMAN	Calcium/calmodulin-dependent protein kinase kinase 2 (CaM-KK 2) (CaM-kinase kinase 2) (CaMKK 2) (EC 2.7.11.17) (Calcium/calmodulin-dependent protein kinase kinase beta) (CaM-KK beta) (CaM-kinase kinase beta) (CaMKK beta)	CAMKK2 CAMKKB KIAA0787	588	Protein kinase superfamily, Ser/Thr protein kinase family	DOMAIN 165..446; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q96QS6	PSKH2_HUMAN	Serine/threonine-protein kinase H2 (EC 2.7.11.1) (Protein serine kinase H2) (PSK-H2)	PSKH2	385	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 63..320; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
O15021	MAST4_HUMAN	Microtubule-associated serine/threonine-protein kinase 4 (EC 2.7.11.1)	MAST4 KIAA0303	2623	Protein kinase superfamily, AGC Ser/Thr protein kinase family	DOMAIN 570..843; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 844..916; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"; DOMAIN 1141..1229; /note="PDZ"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00143"
Q05513	KPCZ_HUMAN	Protein kinase C zeta type (EC 2.7.11.13) (nPKC-zeta)	PRKCZ PKC2	592	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	DOMAIN 15..98; /note="PB1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01081"; DOMAIN 252..518; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 519..590; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
O75676	KS6A4_HUMAN	Ribosomal protein S6 kinase alpha-4 (S6K-alpha-4) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 4) (Nuclear mitogen- and stress-activated protein kinase 2) (Ribosomal protein kinase B) (RSKB)	RPS6KA4 MSK2	772	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily	DOMAIN 33..301; /note="Protein kinase 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 302..371; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"; DOMAIN 411..674; /note="Protein kinase 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9HAZ1	CLK4_HUMAN	Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4)	CLK4	481	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, Lammer subfamily	DOMAIN 159..475; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q5TCY1	TTBK1_HUMAN	Tau-tubulin kinase 1 (EC 2.7.11.1) (Brain-derived tau kinase)	TTBK1 BDTK KIAA1855	1321	Protein kinase superfamily, CK1 Ser/Thr protein kinase family	DOMAIN 34..297; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q16816	PHKG1_HUMAN	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform (PHK-gamma-M) (EC 2.7.11.19) (Phosphorylase kinase subunit gamma-1) (Serine/threonine-protein kinase PHKG1) (EC 2.7.11.1, EC 2.7.11.26)	PHKG1 PHKG	387	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 20..288; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P45983	MK08_HUMAN	Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8) (EC 2.7.11.24) (JNK-46) (Stress-activated protein kinase 1c) (SAPK1c) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1)	MAPK8 JNK1 PRKM8 SAPK1 SAPK1C	427	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	DOMAIN 26..321; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P49759	CLK1_HUMAN	Dual specificity protein kinase CLK1 (EC 2.7.12.1) (CDC-like kinase 1)	CLK1 CLK	484	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, Lammer subfamily	DOMAIN 161..477; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9UQ88	CD11A_HUMAN	Cyclin-dependent kinase 11A (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 2) (Cell division protein kinase 11A) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L2)	CDK11A CDC2L2 CDC2L3 PITSLREB	783	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 427..647; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9BXA7	TSSK1_HUMAN	Testis-specific serine/threonine-protein kinase 1 (TSK-1) (TSK1) (TSSK-1) (Testis-specific kinase 1) (EC 2.7.11.1) (Serine/threonine-protein kinase 22A)	TSSK1B SPOGA1 SPOGA4 STK22A STK22D TSSK1 FKSG81	367	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 12..272; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9Y2H9	MAST1_HUMAN	Microtubule-associated serine/threonine-protein kinase 1 (EC 2.7.11.1) (Syntrophin-associated serine/threonine-protein kinase)	MAST1 KIAA0973 SAST	1570	Protein kinase superfamily, AGC Ser/Thr protein kinase family	DOMAIN 374..647; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 648..719; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"; DOMAIN 967..1055; /note="PDZ"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00143"
Q9C098	DCLK3_HUMAN	Serine/threonine-protein kinase DCLK3 (EC 2.7.11.1) (Doublecortin domain-containing protein 3C) (Doublecortin-like and CAM kinase-like 3) (Doublecortin-like kinase 3)	DCLK3 DCAMKL3 DCDC3C KIAA1765	648	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	DOMAIN 356..613; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q02156	KPCE_HUMAN	Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)	PRKCE PKCE	737	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	DOMAIN 1..117; /note="C2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00041"; DOMAIN 408..668; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 669..737; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q9BWU1	CDK19_HUMAN	Cyclin-dependent kinase 19 (EC 2.7.11.22) (CDC2-related protein kinase 6) (Cell division cycle 2-like protein kinase 6) (Cell division protein kinase 19) (Cyclin-dependent kinase 11) (Death-preventing kinase)	CDK19 CDC2L6 CDK11 KIAA1028	502	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 21..335; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P21127	CD11B_HUMAN	Cyclin-dependent kinase 11B (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 1) (CLK-1) (Cell division protein kinase 11B) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L1) (p58 CLK-1)	CDK11B CDC2L1 CDK11 PITSLREA PK58	795	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 438..723; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9UK32	KS6A6_HUMAN	Ribosomal protein S6 kinase alpha-6 (S6K-alpha-6) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 6) (p90-RSK 6) (p90RSK6) (Ribosomal S6 kinase 4) (RSK-4) (pp90RSK4)	RPS6KA6 RSK4	745	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily	DOMAIN 73..330; /note="Protein kinase 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 331..400; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"; DOMAIN 426..683; /note="Protein kinase 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q00536	CDK16_HUMAN	Cyclin-dependent kinase 16 (EC 2.7.11.22) (Cell division protein kinase 16) (PCTAIRE-motif protein kinase 1) (Serine/threonine-protein kinase PCTAIRE-1)	CDK16 PCTAIRE1 PCTK1	496	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 165..446; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P22612	KAPCG_HUMAN	cAMP-dependent protein kinase catalytic subunit gamma (PKA C-gamma) (EC 2.7.11.11)	PRKACG	351	Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily	DOMAIN 44..298; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 299..351; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q96PF2	TSSK2_HUMAN	Testis-specific serine/threonine-protein kinase 2 (TSK-2) (TSK2) (TSSK-2) (Testis-specific kinase 2) (EC 2.7.11.1) (DiGeorge syndrome protein G) (DGS-G) (Serine/threonine-protein kinase 22B)	TSSK2 DGSG SPOGA2 STK22B	358	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 12..272; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q07002	CDK18_HUMAN	Cyclin-dependent kinase 18 (EC 2.7.11.22) (Cell division protein kinase 18) (PCTAIRE-motif protein kinase 3) (Serine/threonine-protein kinase PCTAIRE-3)	CDK18 PCTAIRE3 PCTK3	474	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 144..425; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P23443	KS6B1_HUMAN	Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (Serine/threonine-protein kinase 14A) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA)	RPS6KB1 STK14A	525	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily	DOMAIN 91..352; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 353..423; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
P45984	MK09_HUMAN	Mitogen-activated protein kinase 9 (MAP kinase 9) (MAPK 9) (EC 2.7.11.24) (JNK-55) (Stress-activated protein kinase 1a) (SAPK1a) (Stress-activated protein kinase JNK2) (c-Jun N-terminal kinase 2)	MAPK9 JNK2 PRKM9 SAPK1A	424	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	DOMAIN 26..321; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9BZL6	KPCD2_HUMAN	Serine/threonine-protein kinase D2 (EC 2.7.11.13) (nPKC-D2)	PRKD2 PKD2 HSPC187	878	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PKD subfamily	DOMAIN 397..509; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"; DOMAIN 551..807; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
